======================================================================
RUN      : 8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep
OUTPUT   : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep
Device   : cuda:2
Start    : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant    : input=True  act=True  weights=True
Grad     : act=ste  weight=ste
Noise    : mode=layerwise  phase=130 epochs
  Stem   : var=0.05   std=0.2236
  Layer1 : var=0.025  std=0.1581
  Layer2 : var=0.01   std=0.1000
  Layer3 : var=0.001  std=0.0316
LR=0.001  Epochs=150  Scheduler=False
Missing keys: 0
======================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
    83     NOISY     84.01%      0.4545    76.34%    0.7576   0.001000
    84     NOISY     84.17%      0.4507    82.44%    0.5288   0.001000
    85     NOISY     84.19%      0.4507    80.08%    0.6030   0.001000
    86     NOISY     84.32%      0.4509    79.00%    0.6711   0.001000
    87     NOISY     84.28%      0.4508    80.25%    0.6338   0.001000
    88     NOISY     84.22%      0.4534    80.05%    0.6208   0.001000
    89     NOISY     84.11%      0.4554    80.48%    0.5990   0.001000
    90     NOISY     84.21%      0.4497    81.20%    0.5704   0.001000
    91     NOISY     84.21%      0.4475    79.62%    0.6329   0.001000
    92     NOISY     84.17%      0.4532    80.46%    0.5720   0.001000
    93     NOISY     84.38%      0.4493    80.34%    0.6163   0.001000
    94     NOISY     84.22%      0.4494    79.64%    0.6159   0.001000
    95     NOISY     84.14%      0.4502    81.20%    0.5764   0.001000
    96     NOISY     84.45%      0.4445    75.23%    0.8038   0.001000
    97     NOISY     84.38%      0.4449    82.67%    0.5214   0.001000
    98     NOISY     84.41%      0.4486    81.20%    0.5649   0.001000
    99     NOISY     84.51%      0.4400    80.94%    0.5818   0.001000
   100     NOISY     84.30%      0.4468    82.16%    0.5356   0.001000
   101     NOISY     84.38%      0.4471    80.26%    0.6174   0.001000
   102     NOISY     84.47%      0.4451    80.98%    0.5705   0.001000
   103     NOISY     84.33%      0.4473    79.31%    0.6158   0.001000
   104     NOISY     84.42%      0.4471    79.93%    0.6160   0.001000
   105     NOISY     84.60%      0.4438    80.79%    0.5826   0.001000
   106     NOISY     84.55%      0.4422    81.00%    0.5921   0.001000
   107     NOISY     84.48%      0.4450    81.15%    0.5741   0.001000
   108     NOISY     84.53%      0.4432    77.08%    0.7467   0.001000
   109     NOISY     84.56%      0.4435    76.63%    0.7849   0.001000
   110     NOISY     84.40%      0.4423    77.93%    0.7077   0.001000
   111     NOISY     84.37%      0.4450    80.18%    0.5967   0.001000
   112     NOISY     84.53%      0.4405    79.19%    0.6140   0.001000
   113     NOISY     84.62%      0.4415    82.53%    0.5450   0.001000
   114     NOISY     84.46%      0.4418    79.99%    0.6114   0.001000
   115     NOISY     84.66%      0.4403    77.62%    0.7010   0.001000
   116     NOISY     84.64%      0.4404    82.48%    0.5307   0.001000
   117     NOISY     84.45%      0.4428    78.30%    0.6518   0.001000
   118     NOISY     84.44%      0.4452    77.29%    0.7634   0.001000
   119     NOISY     84.62%      0.4391    78.55%    0.6950   0.001000
   120     NOISY     84.45%      0.4442    80.74%    0.5935   0.001000
   121     NOISY     84.67%      0.4387    80.47%    0.6114   0.001000
   122     NOISY     84.82%      0.4380    77.92%    0.6917   0.001000
   123     NOISY     84.43%      0.4429    79.21%    0.6402   0.001000
   124     NOISY     84.47%      0.4433    78.15%    0.6835   0.001000
   125     NOISY     84.60%      0.4365    78.86%    0.6515   0.001000
   126     NOISY     84.61%      0.4391    79.53%    0.6499   0.001000
   127     NOISY     84.62%      0.4389    80.54%    0.6058   0.001000
   128     NOISY     84.42%      0.4413    82.47%    0.5203   0.001000
