=================================================================
RUN    : 8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep
OUTPUT : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep
Device : cuda:0
Start  : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant  : input=True  act=True  weights=True
Grad   : act=ste  weight=ste
Noise  : variance=0.01  std=0.1000  phase=130 epochs
LR=0.001  Epochs=150  Scheduler=False
Missing keys (new layers): 0
=================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
    93     NOISY     84.47%      0.4424    82.49%    0.5252   0.001000
    94     NOISY     84.50%      0.4428    82.32%    0.5294   0.001000
    95     NOISY     84.50%      0.4377    82.88%    0.5125   0.001000
    96     NOISY     84.55%      0.4438    81.51%    0.5540   0.001000
    97     NOISY     84.65%      0.4374    80.43%    0.5892   0.001000
    98     NOISY     84.38%      0.4458    80.78%    0.5673   0.001000
    99     NOISY     84.64%      0.4391    80.49%    0.5941   0.001000
   100     NOISY     84.53%      0.4420    82.34%    0.5462   0.001000
   101     NOISY     84.69%      0.4402    79.72%    0.6281   0.001000
   102     NOISY     84.76%      0.4414    80.92%    0.5894   0.001000
   103     NOISY     84.70%      0.4357    83.41%    0.5090   0.001000
   104     NOISY     84.72%      0.4392    80.20%    0.6064   0.001000
   105     NOISY     84.77%      0.4384    83.42%    0.5065   0.001000
   106     NOISY     84.73%      0.4363    81.07%    0.5555   0.001000
   107     NOISY     84.66%      0.4409    80.85%    0.5779   0.001000
   108     NOISY     84.64%      0.4388    81.57%    0.5642   0.001000
   109     NOISY     84.63%      0.4385    80.73%    0.5954   0.001000
   110     NOISY     84.90%      0.4374    80.83%    0.5944   0.001000
   111     NOISY     84.79%      0.4344    79.23%    0.6473   0.001000
   112     NOISY     84.68%      0.4383    80.47%    0.6081   0.001000
   113     NOISY     84.82%      0.4352    80.41%    0.6034   0.001000
   114     NOISY     84.84%      0.4338    82.74%    0.5163   0.001000
   115     NOISY     84.77%      0.4316    80.81%    0.5720   0.001000
   116     NOISY     84.61%      0.4389    79.60%    0.6506   0.001000
   117     NOISY     84.61%      0.4385    80.26%    0.6119   0.001000
   118     NOISY     84.78%      0.4347    81.57%    0.5735   0.001000
   119     NOISY     85.03%      0.4331    80.96%    0.5745   0.001000
   120     NOISY     84.98%      0.4322    79.12%    0.6738   0.001000
   121     NOISY     84.92%      0.4311    82.46%    0.5302   0.001000
   122     NOISY     84.99%      0.4312    77.55%    0.7071   0.001000
   123     NOISY     85.03%      0.4335    79.75%    0.6286   0.001000
   124     NOISY     84.91%      0.4317    80.77%    0.5894   0.001000
   125     NOISY     84.92%      0.4313    81.48%    0.5667   0.001000
   126     NOISY     84.98%      0.4305    82.13%    0.5482   0.001000
   127     NOISY     84.96%      0.4305    83.30%    0.5032   0.001000
   128     NOISY     84.83%      0.4330    81.89%    0.5493   0.001000
   129     NOISY     84.95%      0.4298    82.07%    0.5292   0.001000
   130     NOISY     84.70%      0.4348    82.95%    0.5091   0.001000
   131     CLEAN     87.61%      0.3588    82.51%    0.5362   0.001000
   132     CLEAN     87.43%      0.3620    77.75%    0.7086   0.001000
   133     CLEAN     87.39%      0.3600    81.93%    0.5576   0.001000
   134     CLEAN     87.47%      0.3577    79.58%    0.6247   0.001000
   135     CLEAN     87.46%      0.3586    80.12%    0.6071   0.001000
   136     CLEAN     87.67%      0.3536    76.37%    0.7844   0.001000
   137     CLEAN     87.28%      0.3600    77.68%    0.7372   0.001000
   138     CLEAN     87.64%      0.3563    81.74%    0.5803   0.001000
   139     CLEAN     87.34%      0.3563    80.91%    0.5794   0.001000
   140     CLEAN     87.80%      0.3535    82.59%    0.5339   0.001000
   141     CLEAN     87.62%      0.3560    78.61%    0.6791   0.001000
   142     CLEAN     87.54%      0.3568    83.14%    0.5138   0.001000
   143     CLEAN     87.49%      0.3559    81.57%    0.5589   0.001000
   144     CLEAN     87.62%      0.3494    77.38%    0.7277   0.001000
   145     CLEAN     87.84%      0.3480    81.04%    0.5889   0.001000
   146     CLEAN     87.83%      0.3502    76.52%    0.7659   0.001000
   147     CLEAN     87.71%      0.3503    80.65%    0.6130   0.001000
   148     CLEAN     87.78%      0.3488    78.47%    0.6849   0.001000
   149     CLEAN     87.73%      0.3505    80.92%    0.6150   0.001000
   150     CLEAN     87.64%      0.3492    78.76%    0.6722   0.001000
-----------------------------------------------------------------
Best val accuracy : 83.92%
Checkpoint saved  : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep/best_model.pth
Log saved         : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep/log.txt
Config saved      : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep/config.txt
Plot saved        : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep/training_curves.png
Last checkpoint   : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep/last_model.pth
