=================================================================
RUN    : 8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep
OUTPUT : experiments/8level-weight-ste-noise-var001_act-ste_wgt-ste_lr1e-3_nosched_noise0.01-130ep
Device : cuda:0
Start  : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant  : input=True  act=True  weights=True
Grad   : act=ste  weight=ste
Noise  : variance=0.01  std=0.1000  phase=130 epochs
LR=0.001  Epochs=150  Scheduler=False
Missing keys (new layers): 0
=================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
-----------------------------------------------------------------
     1     NOISY     81.83%      0.5233    79.67%    0.6160   0.001000  ← best
     2     NOISY     82.22%      0.5137    80.87%    0.5506   0.001000  ← best
     3     NOISY     82.11%      0.5173    79.39%    0.6103   0.001000
     4     NOISY     82.35%      0.5063    81.01%    0.5744   0.001000  ← best
     5     NOISY     82.25%      0.5090    80.99%    0.5966   0.001000
     6     NOISY     82.39%      0.5044    79.87%    0.6378   0.001000
     7     NOISY     82.33%      0.5062    78.27%    0.6480   0.001000
     8     NOISY     82.49%      0.5023    82.30%    0.5262   0.001000  ← best
     9     NOISY     82.46%      0.5019    79.32%    0.6163   0.001000
    10     NOISY     82.51%      0.5022    82.32%    0.5395   0.001000  ← best
    11     NOISY     82.49%      0.4979    82.89%    0.5003   0.001000  ← best
    12     NOISY     82.58%      0.4994    80.90%    0.5769   0.001000
    13     NOISY     82.45%      0.4961    81.69%    0.5518   0.001000
    14     NOISY     82.70%      0.4952    81.53%    0.5489   0.001000
    15     NOISY     82.61%      0.4938    80.91%    0.5872   0.001000
    16     NOISY     82.67%      0.4975    80.90%    0.5619   0.001000
    17     NOISY     82.78%      0.4930    79.75%    0.6135   0.001000
    18     NOISY     82.69%      0.4912    81.14%    0.5678   0.001000
    19     NOISY     82.90%      0.4915    82.11%    0.5292   0.001000
    20     NOISY     83.13%      0.4840    80.58%    0.5787   0.001000
    21     NOISY     83.16%      0.4851    81.82%    0.5380   0.001000
    22     NOISY     83.10%      0.4829    81.97%    0.5493   0.001000
    23     NOISY     82.85%      0.4887    81.55%    0.5459   0.001000
    24     NOISY     82.99%      0.4879    81.73%    0.5332   0.001000
    25     NOISY     82.79%      0.4863    79.51%    0.6242   0.001000
    26     NOISY     83.25%      0.4815    82.38%    0.5355   0.001000
    27     NOISY     83.54%      0.4778    82.25%    0.5340   0.001000
    28     NOISY     83.05%      0.4844    79.98%    0.6092   0.001000
    29     NOISY     83.12%      0.4868    81.24%    0.5556   0.001000
    30     NOISY     83.37%      0.4793    80.84%    0.5665   0.001000
    31     NOISY     83.13%      0.4827    80.87%    0.5703   0.001000
    32     NOISY     83.42%      0.4774    82.48%    0.5232   0.001000
    33     NOISY     83.17%      0.4798    78.33%    0.6581   0.001000
    34     NOISY     83.47%      0.4755    78.73%    0.6371   0.001000
    35     NOISY     83.17%      0.4784    81.37%    0.5639   0.001000
    36     NOISY     83.39%      0.4751    79.94%    0.6241   0.001000
    37     NOISY     83.52%      0.4743    79.77%    0.6256   0.001000
    38     NOISY     83.51%      0.4743    76.92%    0.7172   0.001000
    39     NOISY     83.51%      0.4757    81.50%    0.5387   0.001000
    40     NOISY     83.50%      0.4738    82.49%    0.5225   0.001000
    41     NOISY     83.46%      0.4694    78.11%    0.6575   0.001000
    42     NOISY     83.64%      0.4690    83.38%    0.4890   0.001000  ← best
    43     NOISY     83.81%      0.4646    81.97%    0.5423   0.001000
    44     NOISY     83.88%      0.4672    81.03%    0.6048   0.001000
    45     NOISY     83.68%      0.4666    78.32%    0.6586   0.001000
    46     NOISY     83.49%      0.4698    79.53%    0.6249   0.001000
    47     NOISY     83.60%      0.4712    81.59%    0.5588   0.001000
    48     NOISY     83.68%      0.4663    81.55%    0.5593   0.001000
    49     NOISY     83.89%      0.4643    76.53%    0.7501   0.001000
    50     NOISY     83.85%      0.4665    81.13%    0.5831   0.001000
    51     NOISY     83.75%      0.4680    73.81%    0.8465   0.001000
    52     NOISY     83.73%      0.4639    79.82%    0.6187   0.001000
    53     NOISY     83.77%      0.4666    79.70%    0.6170   0.001000
    54     NOISY     83.72%      0.4634    78.41%    0.6730   0.001000
    55     NOISY     83.77%      0.4617    80.63%    0.5657   0.001000
    56     NOISY     83.87%      0.4585    80.60%    0.5904   0.001000
    57     NOISY     83.84%      0.4616    77.52%    0.6720   0.001000
    58     NOISY     84.17%      0.4592    79.32%    0.6712   0.001000
    59     NOISY     84.06%      0.4585    78.95%    0.6425   0.001000
    60     NOISY     83.75%      0.4611    80.22%    0.5987   0.001000
    61     NOISY     83.95%      0.4572    80.50%    0.6066   0.001000
    62     NOISY     83.98%      0.4573    81.36%    0.5615   0.001000
    63     NOISY     84.16%      0.4559    81.57%    0.5568   0.001000
    64     NOISY     83.94%      0.4586    81.13%    0.5715   0.001000
    65     NOISY     84.02%      0.4562    83.23%    0.4987   0.001000
    66     NOISY     83.87%      0.4611    80.14%    0.6236   0.001000
    67     NOISY     84.02%      0.4557    80.39%    0.5970   0.001000
    68     NOISY     83.93%      0.4571    82.22%    0.5278   0.001000
    69     NOISY     83.89%      0.4602    80.38%    0.6192   0.001000
    70     NOISY     83.94%      0.4571    80.96%    0.5770   0.001000
    71     NOISY     83.95%      0.4555    83.21%    0.5095   0.001000
    72     NOISY     83.93%      0.4566    82.23%    0.5443   0.001000
    73     NOISY     83.98%      0.4569    81.66%    0.5606   0.001000
    74     NOISY     84.17%      0.4501    77.85%    0.7223   0.001000
    75     NOISY     84.23%      0.4548    81.10%    0.5613   0.001000
    76     NOISY     84.24%      0.4514    81.20%    0.5657   0.001000
    77     NOISY     84.22%      0.4493    81.58%    0.5642   0.001000
    78     NOISY     84.00%      0.4562    77.96%    0.6992   0.001000
    79     NOISY     84.26%      0.4499    83.92%    0.4730   0.001000  ← best
    80     NOISY     84.27%      0.4495    81.16%    0.6082   0.001000
    81     NOISY     84.05%      0.4532    74.92%    0.7945   0.001000
    82     NOISY     84.13%      0.4493    82.44%    0.5313   0.001000
    83     NOISY     84.49%      0.4458    80.65%    0.5825   0.001000
    84     NOISY     84.22%      0.4498    82.69%    0.5099   0.001000
    85     NOISY     84.14%      0.4499    79.37%    0.6307   0.001000
    86     NOISY     84.37%      0.4481    81.82%    0.5150   0.001000
    87     NOISY     84.45%      0.4438    79.86%    0.6101   0.001000
    88     NOISY     84.28%      0.4515    80.91%    0.5750   0.001000
    89     NOISY     84.33%      0.4478    74.97%    0.7941   0.001000
    90     NOISY     84.56%      0.4439    81.97%    0.5439   0.001000
    91     NOISY     84.62%      0.4423    81.12%    0.5761   0.001000
    92     NOISY     84.56%      0.4442    81.56%    0.5682   0.001000
