=================================================================
RUN    : 8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep
OUTPUT : experiments/8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep
Device : cuda:1
Start  : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant  : input=True  act=True  weights=True
Grad   : act=ste  weight=ste
Noise  : variance=0.025  std=0.1581  phase=130 epochs
LR=0.001  Epochs=150  Scheduler=False
Missing keys (new layers): 0
=================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
    87     NOISY     81.45%      0.5297    81.32%    0.5467   0.001000
    88     NOISY     81.40%      0.5295    80.56%    0.5872   0.001000
    89     NOISY     81.45%      0.5331    82.32%    0.5260   0.001000
    90     NOISY     81.47%      0.5288    81.51%    0.5535   0.001000
    91     NOISY     81.62%      0.5249    82.71%    0.5079   0.001000
    92     NOISY     81.53%      0.5280    81.40%    0.5501   0.001000
    93     NOISY     81.40%      0.5298    82.46%    0.5101   0.001000
    94     NOISY     81.63%      0.5314    81.53%    0.5348   0.001000
    95     NOISY     81.44%      0.5279    82.93%    0.4984   0.001000
    96     NOISY     81.63%      0.5285    79.73%    0.6017   0.001000
    97     NOISY     81.60%      0.5255    81.78%    0.5574   0.001000
    98     NOISY     81.84%      0.5236    80.17%    0.6080   0.001000
    99     NOISY     81.80%      0.5206    81.43%    0.5665   0.001000
   100     NOISY     81.79%      0.5212    80.78%    0.5759   0.001000
   101     NOISY     81.87%      0.5209    82.78%    0.5226   0.001000
   102     NOISY     81.88%      0.5202    81.04%    0.5570   0.001000
   103     NOISY     81.77%      0.5241    78.85%    0.6363   0.001000
   104     NOISY     81.64%      0.5230    80.44%    0.6032   0.001000
   105     NOISY     81.86%      0.5248    82.90%    0.5132   0.001000
   106     NOISY     81.76%      0.5216    83.24%    0.4943   0.001000  ← best
   107     NOISY     81.93%      0.5178    81.94%    0.5357   0.001000
   108     NOISY     81.58%      0.5253    81.97%    0.5209   0.001000
   109     NOISY     81.95%      0.5188    82.57%    0.5168   0.001000
   110     NOISY     82.17%      0.5128    81.85%    0.5342   0.001000
   111     NOISY     81.87%      0.5208    81.25%    0.5811   0.001000
   112     NOISY     81.77%      0.5193    81.46%    0.5433   0.001000
   113     NOISY     82.00%      0.5170    82.70%    0.5066   0.001000
   114     NOISY     81.79%      0.5135    82.21%    0.5289   0.001000
   115     NOISY     81.81%      0.5196    81.03%    0.5782   0.001000
   116     NOISY     81.87%      0.5184    82.38%    0.5317   0.001000
   117     NOISY     81.78%      0.5172    82.66%    0.5057   0.001000
   118     NOISY     81.80%      0.5188    82.53%    0.5143   0.001000
   119     NOISY     81.98%      0.5154    81.25%    0.5798   0.001000
   120     NOISY     82.16%      0.5105    81.50%    0.5547   0.001000
   121     NOISY     81.95%      0.5156    81.34%    0.5636   0.001000
   122     NOISY     81.71%      0.5184    81.06%    0.5567   0.001000
   123     NOISY     82.12%      0.5157    80.91%    0.5844   0.001000
   124     NOISY     82.04%      0.5154    81.85%    0.5391   0.001000
   125     NOISY     82.20%      0.5125    81.99%    0.5317   0.001000
   126     NOISY     82.16%      0.5100    82.74%    0.4986   0.001000
   127     NOISY     82.15%      0.5128    82.78%    0.5099   0.001000
   128     NOISY     82.34%      0.5076    81.88%    0.5345   0.001000
   129     NOISY     82.17%      0.5125    82.47%    0.5386   0.001000
   130     NOISY     82.46%      0.5098    82.68%    0.5158   0.001000
   131     CLEAN     86.55%      0.3884    82.62%    0.5286   0.001000
   132     CLEAN     86.74%      0.3804    82.53%    0.5310   0.001000
   133     CLEAN     86.86%      0.3776    81.25%    0.5637   0.001000
   134     CLEAN     86.92%      0.3742    80.50%    0.6157   0.001000
   135     CLEAN     87.27%      0.3714    83.25%    0.5083   0.001000  ← best
   136     CLEAN     87.25%      0.3661    82.53%    0.5221   0.001000
   137     CLEAN     87.23%      0.3697    81.97%    0.5423   0.001000
   138     CLEAN     87.09%      0.3683    83.28%    0.5210   0.001000  ← best
   139     CLEAN     87.23%      0.3663    80.11%    0.6437   0.001000
   140     CLEAN     87.24%      0.3650    82.39%    0.5201   0.001000
   141     CLEAN     87.44%      0.3612    82.77%    0.5227   0.001000
   142     CLEAN     87.52%      0.3589    82.28%    0.5288   0.001000
   143     CLEAN     87.24%      0.3635    81.66%    0.5459   0.001000
   144     CLEAN     87.37%      0.3596    83.84%    0.4785   0.001000  ← best
   145     CLEAN     87.66%      0.3574    77.53%    0.7265   0.001000
   146     CLEAN     87.36%      0.3611    82.45%    0.5298   0.001000
   147     CLEAN     87.25%      0.3611    78.92%    0.6582   0.001000
   148     CLEAN     87.68%      0.3558    81.18%    0.5698   0.001000
   149     CLEAN     87.64%      0.3556    80.57%    0.5888   0.001000
   150     CLEAN     87.58%      0.3589    82.42%    0.5482   0.001000
-----------------------------------------------------------------
Best val accuracy : 83.84%
Checkpoint saved  : experiments/8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep/best_model.pth
Log saved         : experiments/8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep/log.txt
Config saved      : experiments/8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep/config.txt
Plot saved        : experiments/8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep/training_curves.png
